TIPO,FECHA,DESCRIPCION,COMPRADOR_CODIGO,VENDEDOR_CODIGO
Buena, 01/09/20,"hasta el momento buenos, pero con el inconveniente de que no me llego la llave para extraer y anexar la SIM",https://www.mercadolibre.com.co/perfil/ABMIZHABI,https://perfil.mercadolibre.com.co/TECHNOLOGYJS
Buena, 27/03/18,Excelente vendedor todo estaba bien y muy atento,https://www.mercadolibre.com.co/perfil/ABMS2013,https://perfil.mercadolibre.com.co/LET%C2%B4S_TRADE
Buena, 02/12/19,empresa muy responsable entregaron en el tiempo estimado buena comunicación y el producto entregado en óptimas condiciones,https://www.mercadolibre.com.co/perfil/ABOGADOMAURICIORIVERO,https://perfil.mercadolibre.com.co/CELULARESBOGOTA7
Buena, 22/06/20,muy buena atencion estuvo pendiente y respondió todos los mensajes y despacho el materia en el tiempo acordado,https://www.mercadolibre.com.co/perfil/ABRAHAMARENASABRAHAMARENAS,https://perfil.mercadolibre.com.co/GAALCEMO2008
Buena, 05/08/20,"Fueron super atentos, a pesar de haber tendio demoras en la entega me amntuvieron bien informado y fueron super honestos.",https://www.mercadolibre.com.co/perfil/AC.ISAZA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA
Buena, 07/07/16,Excelente vendedor no tengo queja alguna muy buena perdona su equipo de trabajo excelente y amable,https://www.mercadolibre.com.co/perfil/ACABANZO,https://perfil.mercadolibre.com.co/TECNOAPPS+ELECTRONICS
Buena, 25/02/20,muy amable y que satisfecha con mi producto.,https://www.mercadolibre.com.co/perfil/ACAD6812267,https://perfil.mercadolibre.com.co/TORRESBARRAGANLUISFERNANDO
Buena, 27/06/16,EXCELENTE Y MUY SERIO,https://www.mercadolibre.com.co/perfil/ACALDERON8714,https://perfil.mercadolibre.com.co/CG+TECHNOLOGY
Buena, 14/09/20,buenos productos,https://www.mercadolibre.com.co/perfil/ACAMPOS1290,https://perfil.mercadolibre.com.co/MITIENDAXIAOMI
Buena, 22/07/20,muy responsable por q ya tengo mi producto,https://www.mercadolibre.com.co/perfil/ACAN4401220,https://perfil.mercadolibre.com.co/SAKA3111156
Buena, 01/09/20,"",https://www.mercadolibre.com.co/perfil/ACANOQUI,https://perfil.mercadolibre.com.co/IMPORTWISHES
Buena, 22/08/20,Rápido y confiavle,https://www.mercadolibre.com.co/perfil/ACARDENASVILLAMIZAR,https://perfil.mercadolibre.com.co/MH+COL-STORE
Buena, 14/08/20,Todo tal cual cómo en la publi,https://www.mercadolibre.com.co/perfil/ACASAS1122,https://perfil.mercadolibre.com.co/GLOBALMARKTRADINGSERVICES
Buena, 14/07/20,Entrega inmediata,https://www.mercadolibre.com.co/perfil/ACASTR2006,https://perfil.mercadolibre.com.co/TECNOPIA.CO
Buena, 20/08/20,"",https://www.mercadolibre.com.co/perfil/ACATA250607,https://perfil.mercadolibre.com.co/CARBONTECH
Buena, 31/01/17,Ok,https://www.mercadolibre.com.co/perfil/ACBOR_DRC,https://perfil.mercadolibre.com.co/COMPUCELL+COLOMBIA
Buena, 29/04/18,"",https://www.mercadolibre.com.co/perfil/ACCA4788102,https://perfil.mercadolibre.com.co/CG+TECHNOLOGY
Regular, 27/08/20,"Incumplió con la fecha de envío, me dio información no real del día que realizo el envío y me hizo perder tiempo preguntando en la transportadora.",https://www.mercadolibre.com.co/perfil/ACCCLV89,https://perfil.mercadolibre.com.co/MEGATIENDAVIRTUAL77
Buena, 14/07/20,Muy buen vendedor. Pedí el producto después de las 12pm y llegó el mismo día.,https://www.mercadolibre.com.co/perfil/ACCESORIOSBICIBOG,https://perfil.mercadolibre.com.co/TECNOPIA.CO
Regular, 04/09/20,"",https://www.mercadolibre.com.co/perfil/ACCIONASAS,https://perfil.mercadolibre.com.co/TODO-EN-FITNESS
Buena, 11/09/20,"",https://www.mercadolibre.com.co/perfil/ACED8394528,https://perfil.mercadolibre.com.co/ALVAROREDONDOBENTEZ
Buena, 27/01/20,bien entregado a tiempo y en perfectas condiciones,https://www.mercadolibre.com.co/perfil/ACEVEDOPAULA72,https://perfil.mercadolibre.com.co/TECHNOLOGYEXPRESSMS
Mala, 17/06/20,"Me enviaron un producto de segunda, estaba la caja destapada y el producto rayado.",https://www.mercadolibre.com.co/perfil/ACEVEDO_EDW2011,https://perfil.mercadolibre.com.co/SEENONIMPORTACIONES
Buena, 07/07/20,"El producto era lo que esperaba, gran atención, recomendado.",https://www.mercadolibre.com.co/perfil/ACE_INC,https://perfil.mercadolibre.com.co/DISRUPTIVOS
Buena, 11/11/18,"",https://www.mercadolibre.com.co/perfil/ACFE5629506,https://perfil.mercadolibre.com.co/MOKA8853040
Buena, 04/07/20,"",https://www.mercadolibre.com.co/perfil/ACGR4089690,https://perfil.mercadolibre.com.co/JEFEPANDA.COM
Mala, 26/09/20,"",https://www.mercadolibre.com.co/perfil/ACHE4385320,https://perfil.mercadolibre.com.co/EVERPRINTBOGOTA
Buena, 10/07/20,"muy buen producto, la entrega a tiempo muy contento con esta compra",https://www.mercadolibre.com.co/perfil/ACHE5546505,https://perfil.mercadolibre.com.co/COMUNICACIONCELULARCOMCEL?brandId=867
Buena, 19/08/20,"",https://www.mercadolibre.com.co/perfil/ACHERNANDEZ10ACHERNANDEZ10,https://perfil.mercadolibre.com.co/SIMARO_CO
Buena, 24/10/15,sin comentarios,https://www.mercadolibre.com.co/perfil/ACIDSPRING,https://perfil.mercadolibre.com.co/CG+TECHNOLOGY
Buena, 14/08/20,"",https://www.mercadolibre.com.co/perfil/ACIV1820506,https://perfil.mercadolibre.com.co/THANOS+SHOP
Buena, 23/07/20,Me gusta comprar por hay todo bueno,https://www.mercadolibre.com.co/perfil/ACIV9294167,https://perfil.mercadolibre.com.co/DRAG%C3%93N+CHINO
Buena, 02/06/20,expectacular equipo 10/10,https://www.mercadolibre.com.co/perfil/ACJO8232676,https://perfil.mercadolibre.com.co/COMUNICACIONCELULARCOMCEL?brandId=867
Buena, 05/08/20,"Muy cumplidos, entregaron lp pactado en el tiempo pactado",https://www.mercadolibre.com.co/perfil/ACJU1939986,https://perfil.mercadolibre.com.co/CAMILO+HERNANDEZSOLUCIONES
Buena, 28/07/20,Amable,https://www.mercadolibre.com.co/perfil/ACLE3514741,https://perfil.mercadolibre.com.co/JAG+COLOMBIA
Buena, 22/07/20,Buen servicio y oportuno,https://www.mercadolibre.com.co/perfil/ACLE3514741,https://perfil.mercadolibre.com.co/CACHARRERIA2020
Buena, 20/08/20,amable y muy puntual,https://www.mercadolibre.com.co/perfil/ACLE5633043,https://perfil.mercadolibre.com.co/TECHNOLOGYRIVER
Buena, 18/10/19,Excelente vendedor - 100% recomendado!,https://www.mercadolibre.com.co/perfil/ACLI7967395,https://perfil.mercadolibre.com.co/ICASERACCESORIOS
Buena, 21/08/20,"llegó super rápido, y me gustó el producto",https://www.mercadolibre.com.co/perfil/ACLU5520112,https://perfil.mercadolibre.com.co/IMPORTACIONES+AJL
Buena, 18/08/20,"",https://www.mercadolibre.com.co/perfil/ACMA3336843,https://perfil.mercadolibre.com.co/SEENONIMPORTACIONES
Buena, 12/08/20,"",https://www.mercadolibre.com.co/perfil/ACMA6727260,https://perfil.mercadolibre.com.co/BLISSTECHNOLOGY+COLOMBIA
Buena, 19/07/20,"El envio fue rápido, la caja en muy buen estado, muy conforme con el producto",https://www.mercadolibre.com.co/perfil/ACMYONATHANCL,https://perfil.mercadolibre.com.co/AUNCLICKSTORE
Buena, 28/07/16,Todo bien,https://www.mercadolibre.com.co/perfil/ACOSTAMAURICIO60,https://perfil.mercadolibre.com.co/ANDRESSEBASTIANCOLORADOGARCI
Buena, 11/09/20,"",https://www.mercadolibre.com.co/perfil/ACPLPC,https://perfil.mercadolibre.com.co/VENTASENLINEAINC.
Buena, 26/03/18,Rápido y dispuesto a hacer negocios. el producto es original y según lo esperado.,https://www.mercadolibre.com.co/perfil/ACRE COLOMBIA,https://perfil.mercadolibre.com.co/TECNOLOGIAONLINEBOGOTA1
Buena, 05/09/17,"",https://www.mercadolibre.com.co/perfil/ACRE19,https://perfil.mercadolibre.com.co/COMPUCELL+COLOMBIA
Buena, 21/09/20,Llego super rápido en excelentes condiciones y muy bien empacado.,https://www.mercadolibre.com.co/perfil/ACSA4095478,https://perfil.mercadolibre.com.co/CELUMOVIL+STORE
Buena, 22/07/20,"Muy amable, muy rápida la entrega y súper cordial",https://www.mercadolibre.com.co/perfil/ACSANCHEZARI,https://perfil.mercadolibre.com.co/SKIN_WOLF
Buena, 07/09/20,"",https://www.mercadolibre.com.co/perfil/ACSE3944644,https://perfil.mercadolibre.com.co/CACA1456255
Buena, 09/11/17,Buen vendedor. Recibí lo prometido. Gracias,https://www.mercadolibre.com.co/perfil/ACT TECH,https://perfil.mercadolibre.com.co/4EVER+PROMO
Buena, 30/08/20,"",https://www.mercadolibre.com.co/perfil/ACTIVEPLAYER,https://perfil.mercadolibre.com.co/MEGATIENDAVIRTUAL77
Buena, 11/05/19,"",https://www.mercadolibre.com.co/perfil/ACUAACUAYOHENISPATRICIA,https://perfil.mercadolibre.com.co/ITG..
Mala, 31/03/19,"",https://www.mercadolibre.com.co/perfil/ACUANDRES0,https://perfil.mercadolibre.com.co/TIENDA_NEW_TECH
Buena, 31/07/20,Muy bien,https://www.mercadolibre.com.co/perfil/ACUARIOPECEZUELOS,https://perfil.mercadolibre.com.co/VENTASENLINEAINC.
Buena, 07/09/20,"",https://www.mercadolibre.com.co/perfil/ACUNAMON2013,https://perfil.mercadolibre.com.co/GLOBALMARKTRADINGSERVICES
Buena, 07/03/20,"",https://www.mercadolibre.com.co/perfil/ACUSTICOROBERT,https://perfil.mercadolibre.com.co/HENRY+CEDANO
Buena, 26/06/20,Excelente producto gracias por su venta,https://www.mercadolibre.com.co/perfil/ACUÑAELOY,https://perfil.mercadolibre.com.co/CACHARRERIA2020
Buena, 04/02/17,"Excelente producto, rápido en llegar y de gran calidad, gracias",https://www.mercadolibre.com.co/perfil/ACUÑAELOY,https://perfil.mercadolibre.com.co/CYBERTRONICOS
Buena, 02/08/20,"",https://www.mercadolibre.com.co/perfil/ACV25_DRC_DRC,https://perfil.mercadolibre.com.co/XAVIIMPORTACIONES
Buena, 14/10/16,Me parecio bien,https://www.mercadolibre.com.co/perfil/ACYE4182760,https://perfil.mercadolibre.com.co/TECNOAPPS+ELECTRONICS
Buena, 27/12/16,"puntual, buen producto, bien empacado, gracias",https://www.mercadolibre.com.co/perfil/ADAC98,https://perfil.mercadolibre.com.co/JOSEBA2016
Buena, 09/07/20,"",https://www.mercadolibre.com.co/perfil/ADAD956296,https://perfil.mercadolibre.com.co/TODO-EN-FITNESS
Buena, 06/07/20,Muy buena atencion,https://www.mercadolibre.com.co/perfil/ADAIMEJOSE,https://perfil.mercadolibre.com.co/YAXA
Buena, 03/09/20,"",https://www.mercadolibre.com.co/perfil/ADAL78,https://perfil.mercadolibre.com.co/POWERSATCOLTDA
Buena, 16/07/20,Entrega en el tiempo estipulado,https://www.mercadolibre.com.co/perfil/ADALBERTOPALLARES,https://perfil.mercadolibre.com.co/SHOPPING--WEB
