CODIGO,ES_VENDEDOR,ES_COMPRADOR,FECHA_INICIO,URL,NOMBRE,MUNICIPIO_CODIGO
https://www.mercadolibre.com.co/perfil/ARRA5154278,0,1,"",https://www.mercadolibre.com.co/perfil/ARRA5154278,ARRA5154278,null
https://www.mercadolibre.com.co/perfil/ARRAGA80,0,1,"",https://www.mercadolibre.com.co/perfil/ARRAGA80,ARRAGA80,null
https://www.mercadolibre.com.co/perfil/ARRO6321157,0,1,"",https://www.mercadolibre.com.co/perfil/ARRO6321157,ARRO6321157,null
https://www.mercadolibre.com.co/perfil/ARRO9026202,0,1,"",https://www.mercadolibre.com.co/perfil/ARRO9026202,ARRO9026202,null
https://www.mercadolibre.com.co/perfil/ARRO914964,0,1,"",https://www.mercadolibre.com.co/perfil/ARRO914964,ARRO914964,null
https://www.mercadolibre.com.co/perfil/ARROWELL,0,1,"",https://www.mercadolibre.com.co/perfil/ARROWELL,ARROWELL,null
https://www.mercadolibre.com.co/perfil/ARROYAVECAMILO48,0,1,"",https://www.mercadolibre.com.co/perfil/ARROYAVECAMILO48,ARROYAVECAMILO48,null
https://www.mercadolibre.com.co/perfil/ARROYAVECESAR65,0,1,"",https://www.mercadolibre.com.co/perfil/ARROYAVECESAR65,ARROYAVECESAR65,null
https://www.mercadolibre.com.co/perfil/ARSE1834865,0,1,"",https://www.mercadolibre.com.co/perfil/ARSE1834865,ARSE1834865,null
https://www.mercadolibre.com.co/perfil/ARSE8924006,0,1,"",https://www.mercadolibre.com.co/perfil/ARSE8924006,ARSE8924006,null
https://www.mercadolibre.com.co/perfil/ARTBIKECOLOMBIA,0,1,"",https://www.mercadolibre.com.co/perfil/ARTBIKECOLOMBIA,ARTBIKECOLOMBIA,null
https://www.mercadolibre.com.co/perfil/ARTCASTDAY,0,1,"",https://www.mercadolibre.com.co/perfil/ARTCASTDAY,ARTCASTDAY,null
https://www.mercadolibre.com.co/perfil/ARTEAGA.GEOVANNY,0,1,"",https://www.mercadolibre.com.co/perfil/ARTEAGA.GEOVANNY,ARTEAGA.GEOVANNY,null
https://www.mercadolibre.com.co/perfil/ARTESBUC,0,1,"",https://www.mercadolibre.com.co/perfil/ARTESBUC,ARTESBUC,null
https://www.mercadolibre.com.co/perfil/ARTMAX73,0,1,"",https://www.mercadolibre.com.co/perfil/ARTMAX73,ARTMAX73,null
https://www.mercadolibre.com.co/perfil/ARTUROBOHORQUEZARTUROBOHORQUEZ,0,1,"",https://www.mercadolibre.com.co/perfil/ARTUROBOHORQUEZARTUROBOHORQUEZ,ARTUROBOHORQUEZARTUROBOHORQUEZ,null
https://www.mercadolibre.com.co/perfil/ARTURORAMIRO99,0,1,"",https://www.mercadolibre.com.co/perfil/ARTURORAMIRO99,ARTURORAMIRO99,null
https://www.mercadolibre.com.co/perfil/ARTUROSAP,0,1,"",https://www.mercadolibre.com.co/perfil/ARTUROSAP,ARTUROSAP,null
https://www.mercadolibre.com.co/perfil/ARTURO_CAICEDOC,0,1,"",https://www.mercadolibre.com.co/perfil/ARTURO_CAICEDOC,ARTURO_CAICEDOC,null
https://www.mercadolibre.com.co/perfil/ARUBIO74,0,1,"",https://www.mercadolibre.com.co/perfil/ARUBIO74,ARUBIO74,null
https://www.mercadolibre.com.co/perfil/ARUIZ4,0,1,"",https://www.mercadolibre.com.co/perfil/ARUIZ4,ARUIZ4,null
https://www.mercadolibre.com.co/perfil/ARUROD1,0,1,"",https://www.mercadolibre.com.co/perfil/ARUROD1,ARUROD1,null
https://www.mercadolibre.com.co/perfil/ARVA4936895,0,1,"",https://www.mercadolibre.com.co/perfil/ARVA4936895,ARVA4936895,null
https://www.mercadolibre.com.co/perfil/ARVEYRICARDOQUIONEZ,0,1,"",https://www.mercadolibre.com.co/perfil/ARVEYRICARDOQUIONEZ,ARVEYRICARDOQUIONEZ,null
https://www.mercadolibre.com.co/perfil/ARVI2501831,0,1,"",https://www.mercadolibre.com.co/perfil/ARVI2501831,ARVI2501831,null
https://www.mercadolibre.com.co/perfil/ARYE4880150,0,1,"",https://www.mercadolibre.com.co/perfil/ARYE4880150,ARYE4880150,null
